# console attached  10:03:52
# move a finger on the trackpad. Ctrl-C to stop.
10:07:51 tp raw=8,-2 out=4,0 hv=0,0
10:07:51 tp raw=5,-2 out=0,0 hv=0,0
10:07:51 tp raw=9,-3 out=4,0 hv=0,0
10:07:51 tp raw=9,-3 out=4,0 hv=0,0
10:07:51 tp raw=13,-7 out=7,-3 hv=0,0
10:07:51 tp raw=4,-3 out=0,0 hv=0,0
10:07:51 tp raw=0,-3 out=0,0 hv=0,0
10:07:51 tp raw=3,-2 out=0,0 hv=0,0
10:07:51 tp raw=0,-2 out=0,0 hv=0,0
10:07:51 tp raw=0,-3 out=0,0 hv=0,0
10:07:51 tp raw=0,-3 out=0,0 hv=0,0
10:07:51 tp raw=0,-2 out=0,0 hv=0,0
10:07:51 tp raw=0,-3 out=0,0 hv=0,0
10:07:51 tp raw=0,-3 out=0,0 hv=0,0
10:07:52 tp raw=0,-2 out=0,0 hv=0,0
10:07:52 tp raw=0,-2 out=0,0 hv=0,0
10:07:52 tp raw=0,-1 out=0,0 hv=0,0
10:07:52 tp raw=-8,-9 out=-4,-4 hv=0,0
10:07:52 tp raw=-2,-3 out=0,0 hv=0,0
10:07:52 tp raw=-7,-3 out=-3,0 hv=0,0
10:07:52 tp raw=-5,-3 out=0,0 hv=0,0
10:07:52 tp raw=-7,-9 out=-3,-4 hv=0,0
10:07:52 tp raw=-2,-1 out=0,0 hv=0,0
10:07:52 tp raw=-5,-5 out=0,0 hv=0,0
10:07:52 tp raw=0,-4 out=0,0 hv=0,0
10:07:52 tp raw=0,-1 out=0,0 hv=0,0
10:07:52 tp raw=-5,-5 out=0,0 hv=0,0
10:07:52 tp raw=0,-2 out=0,0 hv=0,0
10:07:52 tp raw=0,-5 out=0,0 hv=0,0
10:07:52 tp raw=0,-3 out=0,0 hv=0,0
10:07:52 tp raw=0,-5 out=0,0 hv=0,0
10:07:52 tp raw=0,-5 out=0,0 hv=0,0
10:07:52 tp raw=-3,-5 out=0,0 hv=0,0
10:07:52 tp raw=-6,-1 out=-3,0 hv=0,0
10:07:52 tp raw=-1,0 out=0,0 hv=0,0
10:07:52 tp raw=0,-2 out=0,0 hv=0,0
10:07:52 tp raw=-2,0 out=0,0 hv=0,0
10:07:52 tp raw=-2,0 out=0,0 hv=0,0
10:07:52 tp raw=-1,-2 out=0,0 hv=0,0
10:07:52 tp raw=0,-1 out=0,0 hv=0,0
10:07:52 tp raw=-4,0 out=0,0 hv=0,0
10:07:52 tp raw=-2,0 out=0,0 hv=0,0
10:07:52 tp raw=-1,-2 out=0,0 hv=0,0
10:07:52 tp raw=7,-2 out=3,0 hv=0,0
10:07:52 tp raw=0,-1 out=0,0 hv=0,0
10:07:52 tp raw=-7,-2 out=-3,0 hv=0,0
10:07:52 tp raw=5,-3 out=0,0 hv=0,0
10:07:52 tp raw=3,-5 out=0,0 hv=0,0
10:07:52 tp raw=-8,-7 out=-4,-3 hv=0,0
10:07:52 tp raw=-2,-3 out=0,0 hv=0,0
10:07:52 tp raw=-3,-2 out=0,0 hv=0,0
10:07:52 tp raw=0,-3 out=0,0 hv=0,0
10:07:52 tp raw=-2,-2 out=0,0 hv=0,0
